N/A;USD TO AUD 1M FWD PTS - EXCHANGE RATE;USD TO AUD 3M FWD PTS - EXCHANGE RATE;USD TO AUD 6M FWD PTS - EXCHANGE RATE;USD TO AUD 9M FWD PTS - EXCHANGE RATE;USD TO EUR 1M FWD PTS - EXCHANGE RATE;USD TO EUR 3M FWD PTS - EXCHANGE RATE;USD TO EUR 6M FWD PTS - EXCHANGE RATE;USD TO EUR 9M FWD PTS - EXCHANGE RATE;USD TO NZD 1M FWD PTS - EXCHANGE RATE;USD TO NZD 3M FWD PTS - EXCHANGE RATE;USD TO NZD 6M FWD PTS - EXCHANGE RATE;USD TO NZD 9M FWD PTS - EXCHANGE RATE;SEK TO USD 1M FWD PTS - EXCHANGE RATE;SEK TO USD 3M FWD PTS - EXCHANGE RATE;SEK TO USD 6M FWD PTS - EXCHANGE RATE;SEK TO USD 9M FWD PTS - EXCHANGE RATE;NOK TO USD 1M FWD PTS - EXCHANGE RATE;NOK TO USD 3M FWD PTS - EXCHANGE RATE;NOK TO USD 6M FWD PTS - EXCHANGE RATE;NOK TO USD 9M FWD PTS - EXCHANGE RATE;USD TO GBP 1M FWD PTS - EXCHANGE RATE;USD TO GBP 3M FWD PTS - EXCHANGE RATE;USD TO GBP 6M FWD PTS - EXCHANGE RATE;USD TO GBP 9M FWD PTS - EXCHANGE RATE;JPY TO USD 1M FWD PTS - EXCHANGE RATE;JPY TO USD 3M FWD PTS - EXCHANGE RATE;JPY TO USD 6M FWD PTS - EXCHANGE RATE;JPY TO USD 9M FWD PTS - EXCHANGE RATE;CAD TO USD 1M FWD PTS - EXCHANGE RATE;CAD TO USD 3M FWD PTS - EXCHANGE RATE;CAD TO USD 6M FWD PTS - EXCHANGE RATE;CAD TO USD 9M FWD PTS - EXCHANGE RATE;CHF TO USD 1M FWD PTS - EXCHANGE RATE;CHF TO USD 3M FWD PTS - EXCHANGE RATE;CHF TO USD 6M FWD PTS - EXCHANGE RATE;CHF TO USD 9M FWD PTS - EXCHANGE RATE;CHF TO USD (LSEG DS) - EXCHANGE RATE;EURO TO US $ (RFV) - EXCHANGE RATE;CAD TO USD (LSEG DS) - EXCHANGE RATE;AUD TO USD (LSEG DS) - EXCHANGE RATE;NZD TO USD (LSEG DS) - EXCHANGE RATE;GBP TO US $ (LSEG DS) - EXCHANGE RATE;JPY TO USD (LSEG DS) - EXCHANGE RATE;NORWEGIAN KRONE TO US $ (WMR) - EXCHANGE RATE;SWEDISH KRONA TO US $ (WMR) - EXCHANGE RATE;Gold, USD FX Comp. U$/Troy Oz;Silver Commodity Cash Spot;Platinum,Free Market $/troy oz;Palladium, USD FX Comp. U$/Troy Oz
Code;AUD1MFP;AUD3MFP;AUD6MFP;AUD9MFP;EUR1MFP;EUR3MFP;EUR6MFP;EUR9MFP;NZD1MFP;NZD3MFP;NZD6MFP;NZD9MFP;SEK1MFP;SEK3MFP;SEK6MFP;SEK9MFP;NOK1MFP;NOK3MFP;NOK6MFP;NOK9MFP;GBP1MFP;GBP3MFP;GBP6MFP;GBP9MFP;JPY1MFP;JPY3MFP;JPY6MFP;JPY9MFP;CAD1MFP;CAD3MFP;CAD6MFP;CAD9MFP;CHF1MFP;CHF3MFP;CHF6MFP;CHF9MFP;TDCHFSP;EUDOLLR;TDCADSP;TDAUDSI;TDNZDSI;TSUSDSP;TDJPYSP;NORKRO$;SWEKRO$;GOLDUSD;SILVCSP;PLTFREE;PALLUSD
31.12.1999;3.35;7.25;10.5;10.75;23.15;NA;NA;NA;3.13;6.25;8.25;6;-175.5;NA;NA;NA;-5;-27.5;-110;-245;2.5;0.75;NA;NA;-53;-148.5;NA;NA;-10.5;-31.5;-61.5;-87;-61.8;NA;NA;NA;1.5907;0.99761;1.446;1.53083;1.92047;NA;102.26;8.0372;8.543;288.25;5.42;443;449.5
03.01.2000;3.25;7.05;10.5;10;25.35;NA;NA;NA;3.15;5.5;7;3.5;-180.5;NA;NA;NA;-11;-30;-105;-240;2.45;1;NA;NA;-51.75;-147.5;NA;NA;-11.75;-32.5;-61.5;-88;-61.25;NA;NA;NA;1.56475;0.98493;1.4466;1.52053;1.91598;NA;101.585;7.954;8.44;289;5.36;443;452.5
04.01.2000;3.27;7.15;9.63;9.75;23.5;NA;NA;NA;2.95;6.5;9.5;7;-172;NA;NA;NA;-7.5;-42.5;-135;-280;1.63;0.65;NA;NA;-51.45;-149.9;NA;NA;-10.75;-31.5;-58.5;-82;-60.3;NA;NA;NA;1.55545;0.97069;1.45205;1.51821;1.9017;NA;103.265;7.9303;8.363;282.45;5.345;433;440.4
05.01.2000;3.27;7.55;10.13;10.75;23.35;NA;NA;NA;3;6.5;9;7.5;-166.5;NA;NA;NA;-7.5;-45;-130;-270;1.88;0.65;NA;NA;-55;-152.5;NA;NA;-10.65;-30.5;-55.5;-78;-58.6;NA;NA;NA;1.555;0.9674;1.4495;1.51974;1.92354;NA;104.295;7.9354;8.352;281;5.165;420;437.5
06.01.2000;3.2;7.45;10;9.5;23.35;NA;NA;NA;2.85;6.25;8.75;5.5;-169;NA;NA;NA;-5;-43;-125;-260;1.57;0.75;NA;NA;-55.65;-153.3;NA;NA;-10.75;-30.5;-56.5;-78;-58.15;NA;NA;NA;1.5536;0.96628;1.4595;1.52345;1.93237;NA;105.325;7.9265;8.351;281.23;5.125;414;435.8
07.01.2000;3.1;7.05;8.99;8;23.35;NA;NA;NA;2.6;5.65;7.5;4.5;-170.5;NA;NA;NA;-5;-45;-135;-270;1.38;0.75;NA;NA;-54.25;-154.5;NA;NA;-5.75;-30.5;-55.5;-81;-57.1;NA;NA;NA;1.56475;0.97191;1.4558;1.5285;1.93721;NA;105.365;7.9768;8.424;281.75;5.16;418;444.4
10.01.2000;3.18;6.75;7.95;6.9;24.25;NA;NA;NA;2.95;6;8;5;-181.5;NA;NA;NA;-5;-42;-135;-275;1.25;0.65;NA;NA;-53;-153.75;NA;NA;-11.15;-32.25;-59.5;-82;-60.55;NA;NA;NA;1.5685;0.97418;1.4555;1.52279;1.93914;NA;105.115;8.009;8.449;281.48;5.145;418;452.45
11.01.2000;3.15;6.75;7.75;5.7;23.45;NA;NA;NA;2.7;6.05;7.5;5;-175.5;NA;NA;NA;-8.5;-47;-135;-260;0.8;-0.25;NA;NA;-51.5;-155.15;NA;NA;-11.55;-31.25;-58.5;-80;-59.2;NA;NA;NA;1.5585;0.97106;1.4578;1.52752;1.93537;NA;106.085;7.978;8.4136;283.3799;5.16;420;450.5
12.01.2000;3.1;7.05;8.25;6.8;23.35;NA;NA;NA;2.8;6.45;7.55;6;-173.5;NA;NA;NA;-7.5;-46;-130;-255;0.5;-0.25;NA;NA;-51.45;-155.25;NA;NA;-11.75;-31;-58.5;-82;-58.25;NA;NA;NA;1.5629;0.97343;1.4543;1.51902;1.92671;NA;105.95;7.9926;8.4387;282.48;5.1;421;452.75
13.01.2000;3.5;7.45;9.35;8.7;23.4;NA;NA;NA;2.75;7.55;9;7;-171.5;NA;NA;NA;-6.5;-42.5;-135;-265;2.05;2.25;NA;NA;-51.65;-155.5;NA;NA;-11.05;-30.25;-57.5;-81;-57.7;NA;NA;NA;1.5723;0.97352;1.4503;1.50236;1.90955;NA;106.09;7.9399;8.4223;284.25;5.115;423;447.5
14.01.2000;4;7.35;9.06;8.25;23.25;NA;NA;NA;2.8;7.25;8.8;6;-173.5;NA;NA;NA;-7.5;-45;-130;-255;1.55;1.55;NA;NA;-51.55;-155;NA;NA;-10.95;-30.5;-59;-83;-57.95;NA;NA;NA;1.5925;0.98775;1.4496;1.50137;1.91943;NA;105.805;8.002;8.479;284;5.11;429;440
17.01.2000;3.63;7.15;8.63;8.05;24.85;NA;NA;NA;2.75;6.65;7.5;5.5;-187.5;NA;NA;NA;-7.5;-42.5;-130;-275;1.35;1.25;NA;NA;-54.75;-154;NA;NA;-11.75;-30.5;-57.5;-81;-63.1;NA;NA;NA;1.5963;0.99177;1.4494;1.50274;1.92641;NA;104.84;8.0388;8.49;285.5498;5.115;432;438.5
18.01.2000;3.4;7.15;8.5;6.8;25.05;NA;NA;NA;2;4.65;3.75;0.5;-182.5;NA;NA;NA;-8.5;-47.5;-145;-265;1;1.25;NA;NA;-54.75;-154.5;NA;NA;-11.05;-28.5;-52.5;-75;-61.2;NA;NA;NA;1.5921;0.98922;1.4502;1.50901;1.93703;NA;105.69;8.0193;8.483;288.6499;5.125;434;439.2
19.01.2000;3.25;6.65;8;7.05;24.35;NA;NA;NA;2.25;6;6.05;3;-172.5;NA;NA;NA;-7.5;-45;-130;-275;0.75;0.75;NA;NA;-53.2;-154.55;NA;NA;-11.25;-28.2;-53.5;-74;-60.1;NA;NA;NA;1.5942;0.9902;1.4518;1.5046;1.93339;NA;105.33;8.0025;8.4933;289.5298;5.125;444;442.5
20.01.2000;3.07;6.35;7.45;6.75;23.45;NA;NA;NA;2;5.5;5.8;2;-164.5;NA;NA;NA;-8.5;-47.5;-140;-275;-0.48;-1.25;NA;NA;-51.45;-154.55;NA;NA;-10.25;-27.5;-52.5;-72;-57.1;NA;NA;NA;1.5835;0.99049;1.4467;1.50733;1.94387;NA;105.345;8.002;8.483;288.6299;5.215;444;452.2
21.01.2000;2.9;6.25;7.4;6.35;23.35;NA;NA;NA;1.95;5.35;5.5;-0.5;-161.5;NA;NA;NA;-9;-45;-147.5;-280;-0.23;-1.25;NA;NA;-51.1;-153.5;NA;NA;-10.25;-28.5;-54.5;-78;-56.4;NA;NA;NA;1.5962;0.99305;1.4402;1.50682;1.94628;NA;104.73;8.0135;8.514;289.0999;5.21;442;457
24.01.2000;2.8;5.65;6.2;4.75;24.55;NA;NA;NA;2;5;4.5;0;-173.5;NA;NA;NA;-8.5;-47.5;-135;-270;-0.5;-0.95;NA;NA;-54.95;-154.75;NA;NA;-10.45;-29.5;-57.5;-81;-59.4;NA;NA;NA;1.6002;0.99771;1.4423;1.52523;1.96617;NA;105.665;8.027;8.533;287.7;5.245;455;470.75
25.01.2000;2.7;5.55;6.15;4.5;23.75;NA;NA;NA;2.3;4.95;4.9;2.5;-168.5;NA;NA;NA;-8.5;-46;-141;-281;-0.95;-1.55;NA;NA;-52.05;-155.65;NA;NA;-10.75;-29.5;-57.5;-83;-58.4;NA;NA;NA;1.6115;0.99354;1.4367;1.52451;1.96206;NA;106.02;8.0135;8.484;285.8499;5.265;461;478.5
26.01.2000;2.6;5.35;5.8;4;21.4;NA;NA;NA;2.1;4.75;5.5;1.5;-161.5;NA;NA;NA;-5.5;-40;-135;-275;-0.45;-1.05;NA;NA;-48.85;-150.75;NA;NA;-10.25;-29.5;-57.5;-83;-56.3;NA;NA;NA;1.6103;0.9988;1.4387;1.52717;1.96281;NA;105.705;8.0668;8.534;285.95;5.215;456;472.5
27.01.2000;2.68;5.55;6.63;6.5;20.25;NA;NA;NA;2.1;5.25;5.3;1.5;-148.5;NA;NA;NA;-9.5;-42;-140;-280;-0.9;-1.5;NA;NA;-48.8;-149.4;NA;NA;-9.95;-28.7;-57.5;-84;-51.9;NA;NA;NA;1.6323;1.01174;1.435;1.53098;1.96539;NA;105.165;8.1565;8.633;286.8999;5.35;462;483.5
28.01.2000;3.05;7.75;10.65;12.5;20.45;NA;NA;NA;2.15;5.2;5.8;-1;-152.5;NA;NA;NA;-13.5;-47;-145;-315;-0.9;-0.9;NA;NA;-49;-156.25;NA;NA;-9.45;-28;-58.5;-85;-51.6;NA;NA;NA;1.64975;1.02051;1.4453;1.54233;2.01403;NA;107.12;8.2185;8.735;282.7598;5.265;494;485.4
31.01.2000;3.3;7.75;12;13.5;20.65;NA;NA;NA;2.05;4.2;4;3.5;-157.5;NA;NA;NA;-17;-58;-165;-325;-0.5;-0.75;NA;NA;-49.5;-157.5;NA;NA;-9.55;-28.5;-58.5;-82;-50.7;NA;NA;NA;1.6566;1.02208;1.44585;1.57268;2.02487;NA;107.4;8.2695;8.7935;283.23;5.25;484;484.5
01.02.2000;3.1;7.45;12.7;15;20.6;NA;NA;NA;2.25;4.3;4;3;-157.5;NA;NA;NA;-16;-57;-175;-340;-0.25;1.05;NA;NA;-50.25;-167.95;NA;NA;-9.75;-28.5;-56.5;-82;-51.6;NA;NA;NA;1.6562;1.02785;1.4482;1.57107;2.01763;NA;107.805;8.288;8.786;282.6299;5.195;488;492.05
02.02.2000;2.25;5.85;8.7;9.75;20.6;NA;NA;NA;2.35;4.35;3;2;-168.5;NA;NA;NA;-14.5;-52;-170;-325;0.25;2.5;NA;NA;-50.45;-161.9;NA;NA;-10.85;-30;-59.5;-86;-54.8;NA;NA;NA;1.6506;1.02859;1.4386;1.57326;2.04469;NA;108.16;8.2533;8.75;284.8799;5.185;497;501.5
03.02.2000;1.68;5.15;7.13;7.95;20.35;NA;NA;NA;2;4.6;3.5;1;-149.5;NA;NA;NA;-11.5;-50;-150;-305;-0.8;-0.75;NA;NA;-49.5;-160;NA;NA;-10.05;-29.5;-60;-87;-48.05;NA;NA;NA;1.62235;1.01605;1.4409;1.57837;2.03052;NA;107.6;8.1895;8.6327;287.3999;5.23;502;508.5
04.02.2000;1.35;4.95;7.25;8.3;19.5;NA;NA;NA;2.1;4.55;3.2;-0.5;-138.5;NA;NA;NA;-10.5;-44.5;-155;-295;-1.55;-1.75;NA;NA;-49.8;-158.25;NA;NA;-8.95;-28.2;-58.5;-85;-47.65;NA;NA;NA;1.6345;1.02062;1.44;1.5783;2.02456;NA;107.2;8.2452;8.637;315.2;5.515;512;524.5
07.02.2000;1.25;4.9;7.63;9;20.05;NA;NA;NA;1.85;3.95;3.3;0;-142;NA;NA;NA;-10.5;-50;-157.5;-300;-1.55;-1.65;NA;NA;-49.9;-159.35;NA;NA;-8.95;-28.5;-58;-85;-48.05;NA;NA;NA;1.6381;1.02229;1.4473;1.56691;2.0212;NA;108.685;8.2592;8.6615;301.7998;5.235;522;538
08.02.2000;1.77;5.65;9.25;12;20.15;NA;NA;NA;2;3.6;2.5;-0.5;-138;NA;NA;NA;-11.5;-47.5;-160;-305;-2.15;-2.2;NA;NA;-50.25;-160.25;NA;NA;-9.25;-29.5;-59;-88;-48.25;NA;NA;NA;1.6313;1.01379;1.4452;1.57138;2.02584;NA;109.505;8.191;8.5866;299;5.275;515;577.5
09.02.2000;1.63;6.15;10.15;13;20.2;NA;NA;NA;1.85;3.55;2.5;-0.5;-143.5;NA;NA;NA;-11.5;-49;-160;-300;-2.45;-2.3;NA;NA;-50;-160;NA;NA;-9.75;-29.5;-60;-88;-51.4;NA;NA;NA;1.6179;1.0102;1.4451;1.574;2.02819;NA;108.745;8.1625;8.574;306.25;5.355;518;590.15
10.02.2000;1.63;6.2;10.88;15;20.05;NA;NA;NA;1.8;3.5;2.3;-1;-133;NA;NA;NA;-10.5;-44.5;-150;-275;-3.05;-3;NA;NA;-49.75;-158.95;NA;NA;-9.75;-29.8;-60.5;-89;-47.6;NA;NA;NA;1.6302;1.01482;1.4486;1.5806;2.02984;NA;109.215;8.1863;8.6051;316.95;5.355;510;580
11.02.2000;1.8;6.2;9.85;13.2;20.05;NA;NA;NA;1.85;3.35;2.6;-1.5;-131.5;NA;NA;NA;-10.5;-47.5;-145;-265;-2.9;-2.85;NA;NA;-49.8;-158.75;NA;NA;-9.35;-30;-59.5;-88;-47.75;NA;NA;NA;1.6263;1.01482;1.449;1.58902;2.03222;NA;108.8;8.183;8.587;311.2;5.285;511;599.35
14.02.2000;1.77;6;10.15;13.75;20.25;NA;NA;NA;1.7;3.05;2.3;0.5;-134.5;NA;NA;NA;-9.5;-47.5;-152.5;-270;-2.6;-2.5;NA;NA;-49.75;-158.25;NA;NA;-9.65;-30.5;-60.5;-92;-47.75;NA;NA;NA;1.6429;1.0203;1.4564;1.5833;2.03751;NA;108.9;8.2359;8.6535;308;5.225;519;605
15.02.2000;1.8;6.05;9.7;12.55;21.5;NA;NA;NA;1.6;3;1.85;-1;-135;NA;NA;NA;-11;-46.5;-152.5;-265;-2.6;-2.75;NA;NA;-55;-159;NA;NA;-9.45;-29.5;-60;-89;-45.35;NA;NA;NA;1.6367;1.01678;1.4555;1.59341;2.05134;NA;109.175;8.2335;8.6745;302;5.215;519;660
16.02.2000;1.8;6;9.55;12.25;19.85;NA;NA;NA;1.75;3.2;2;-1;-143.5;NA;NA;NA;-9.5;-42.5;-140;-265;-2.95;-3.55;NA;NA;-50.25;-160.5;NA;NA;-9.75;-29;-59.5;-88;-49.05;NA;NA;NA;1.6258;1.01657;1.4529;1.58356;2.03897;NA;109.4;8.2395;8.6748;302.5;5.265;515;705
17.02.2000;1.75;6.15;9.85;13;19.8;NA;NA;NA;1.65;3.1;3;3;-134;NA;NA;NA;-9;-47.5;-150;-285;-2.15;-1.9;NA;NA;-50.45;-162.5;NA;NA;-9.45;-29.2;-58.5;-90;-46.05;NA;NA;NA;1.6238;1.0142;1.4504;1.57462;2.03272;NA;110.66;8.2778;8.686;301.25;5.225;513;703.05
18.02.2000;1.85;6.35;11.25;15.25;19.25;NA;NA;NA;1.65;3.15;3.3;2;-133.5;NA;NA;NA;-9.5;-49.5;-160;-310;-2.25;-1.75;NA;NA;-50.7;-163.2;NA;NA;-9.15;-30.5;-62.5;-94;-46.25;NA;NA;NA;1.627;1.01513;1.4511;1.58389;2.03168;NA;110.96;8.2515;8.671;304.7998;5.24;512;682.5
21.02.2000;1.85;6.75;11.75;15.5;19.5;NA;NA;NA;1.75;3.05;3;2;-134.5;NA;NA;NA;-9.5;-50;-150;-300;-1.75;-1.5;NA;NA;-51.15;-163.4;NA;NA;-9.65;-30.8;-64.5;-94;-47;NA;NA;NA;1.6233;1.01307;1.4555;1.59275;2.03937;NA;111.295;8.2815;8.68;305.5;5.235;523;785
22.02.2000;1.75;6.55;11.8;17;20.85;NA;NA;NA;1.6;2.95;3;2.5;-133.5;NA;NA;NA;-9;-47.5;-145;-280;-2.25;-1.55;NA;NA;-54.35;-163.35;NA;NA;-9.35;-30.3;-63.5;-94;-48.15;NA;NA;NA;1.6022;0.99305;1.4615;1.59476;2.03972;NA;110.86;8.1345;8.512;305.25;5.26;509;816.8
23.02.2000;1.65;6.05;10.25;14.5;20.2;NA;NA;NA;1.55;2.75;2.45;0.5;-144.5;NA;NA;NA;-8.5;-47.5;-140;-275;-2.35;-1.75;NA;NA;-54.5;-163.35;NA;NA;-10.35;-30.5;-62.5;-96;-51.25;NA;NA;NA;1.6065;0.99622;1.4605;1.60887;2.04957;NA;111.23;8.1528;8.561;300.0999;5.235;510;755
24.02.2000;1.85;6.15;11.05;16;20.5;NA;NA;NA;1.45;2.75;1.75;-1;-134.5;NA;NA;NA;-8.5;-45.5;-130;-260;-2.25;-1.5;NA;NA;-54.25;-166.5;NA;NA;-9.65;-32.2;-66.5;-105;-47.13;NA;NA;NA;1.6203;1.00391;1.4553;1.61495;2.05411;NA;111.31;8.1828;8.5945;298.5999;5.155;475;700
25.02.2000;1.8;6.2;11.25;16.25;20.2;NA;NA;NA;1.3;2;1.75;-1;-143;NA;NA;NA;-8.5;-48;-125;-255;-2.75;-2.65;NA;NA;-53;-163.8;NA;NA;-9.55;-32;-65.5;-100;-48.95;NA;NA;NA;1.6503;1.02166;1.4483;1.61308;2.04428;NA;110.34;8.2935;8.6975;292.5999;5.055;465;685
28.02.2000;1.85;5.95;10.55;14;21.35;NA;NA;NA;1.35;1.75;0.95;-3;-155.5;NA;NA;NA;-10.5;-47.5;-135;-250;-2;-1.5;NA;NA;-57.05;-163.25;NA;NA;-10.35;-31.5;-65.5;-98;-55.2;NA;NA;NA;1.6533;1.03423;1.449;1.63137;2.06501;NA;109.495;8.3415;8.706;292.25;5.065;476;705
29.02.2000;1.9;6.25;11.05;15;20.25;NA;NA;NA;1.4;2.05;1;-1.5;-151.5;NA;NA;NA;-12.5;-49;-130;-240;-1.8;-1.5;NA;NA;-55.9;-164.25;NA;NA;-10.95;-31;-65;-95;-55.35;NA;NA;NA;1.6645;1.03864;1.4489;1.62835;2.05903;NA;110.23;8.3885;8.767;292.1299;5.07;490;727
01.03.2000;2.1;6.25;12.05;17.7;20.15;NA;NA;NA;1.4;1.85;1.5;0;-147;NA;NA;NA;-13;-50.5;-125;-235;-0.95;-0.65;NA;NA;-52.7;-163.8;NA;NA;-10.65;-30.8;-65.5;-95;-53.75;NA;NA;NA;1.6507;1.03295;1.4489;1.64712;2.061;NA;107.145;8.3453;8.7108;291.25;5.09;474;694.9
02.03.2000;2.05;6.3;12.35;17.8;20.55;NA;NA;NA;1.25;1.75;1.5;-1.25;-146.5;NA;NA;NA;-12.5;-45.5;-115;-220;-1.25;-1.05;NA;NA;-53.25;-161.5;NA;NA;-10.45;-30.5;-64.5;-95;-53.75;NA;NA;NA;1.6633;1.03487;1.4562;1.63683;2.03764;NA;107.78;8.365;8.758;288.2;5.03;463;665.9
03.03.2000;2.1;6.4;12.35;17.8;20.65;NA;NA;NA;1.15;1.65;1;-1.5;-144.5;NA;NA;NA;-11.5;-42.5;-115;-200;-1.2;-1;NA;NA;-53.25;-161.15;NA;NA;-10.35;-31;-65.5;-97;-55;NA;NA;NA;1.67375;1.03972;1.4512;1.64729;2.04994;NA;107.76;8.3937;8.816;288.7998;5.11;465;657
06.03.2000;2.05;5.95;10.75;15;21.5;NA;NA;NA;1.05;0.75;0;-2;-156;NA;NA;NA;-12.5;-44.5;-125;-230;-0.92;-0.5;NA;NA;-56.75;-161.45;NA;NA;-10.55;-31;-64.5;-97;-59.95;NA;NA;NA;1.6766;1.04026;1.4528;1.65194;2.04962;NA;107.43;8.4033;8.785;287.8999;5.07;473;656.9
07.03.2000;2.2;6.25;10.75;16;20.5;NA;NA;NA;1.05;0.75;0;-2.5;-154;NA;NA;NA;-13;-44.5;-125;-230;-1.25;-0.95;NA;NA;-54.75;-159.75;NA;NA;-11.25;-31;-64.5;-96;-59.25;NA;NA;NA;1.6748;1.04439;1.4549;1.65684;2.06982;NA;106.11;8.4365;8.799;292.0999;5.08;470;667
08.03.2000;2.45;6.3;11.25;16;20.15;NA;NA;NA;0.45;0.55;-0.5;-2.5;-147.5;NA;NA;NA;-16.5;-52;-141;-240;-1.2;-1;NA;NA;-53.45;-164.25;NA;NA;-10.65;-30;-62.5;-95;-56.45;NA;NA;NA;1.672;1.04471;1.4566;1.65262;2.0647;NA;107.225;8.4445;8.826;288.5999;5.09;474;709.2
09.03.2000;2.52;6.3;11.05;15.4;20.25;NA;NA;NA;0.75;0.5;-1;-3.5;-151.5;NA;NA;NA;-17.5;-55;-160;-270;0;1.15;NA;NA;-53.15;-159.85;NA;NA;-10.35;-30;-61.5;-94;-54;NA;NA;NA;1.6633;1.03199;1.457;1.63036;2.03666;NA;106.65;8.391;8.7397;291.25;5.1;473;691.5
10.03.2000;2.65;6.4;11.35;15.5;19.8;NA;NA;NA;0.4;0.4;-0.5;-4.75;-151;NA;NA;NA;-15;-53.5;-150;-245;0.55;2.25;NA;NA;-53.15;-159.85;NA;NA;-10.3;-29.5;-60.5;-92;-52.55;NA;NA;NA;1.6714;1.03681;1.4581;1.6251;2.02429;NA;106.27;8.3945;8.73;289;5.065;477;702.5
13.03.2000;2.7;6.5;11.7;16;21.25;NA;NA;NA;-0.02;0.4;-1.5;-5;-161.5;NA;NA;NA;-16.5;-53;-137.5;-240;1.15;2.55;NA;NA;-57.45;-158.5;NA;NA;-10.4;-29;-61.5;-93;-56.25;NA;NA;NA;1.6705;1.03434;1.4613;1.6298;2.0284;NA;105.635;8.403;8.711;290.3799;5.075;478;687.5
14.03.2000;2.63;6.75;12.25;17.1;20.45;NA;NA;NA;0.65;0.95;0.5;-0.5;-154.5;NA;NA;NA;-18;-55;-140;-245;1.8;3.55;NA;NA;-54.35;-158.55;NA;NA;-11.35;-29.63;-63;-94;-55;NA;NA;NA;1.6645;1.03864;1.465;1.61568;2.04082;NA;105.225;8.449;8.7159;288.8799;5.1;483;692.5
15.03.2000;2.93;6.9;13.15;18.9;20;NA;NA;NA;0.75;1.15;1.25;0;-153;NA;NA;NA;-20.5;-57;-140;-245;1.8;3.75;NA;NA;-53.13;-163.15;NA;NA;-11.25;-29.5;-63;-93;-54;NA;NA;NA;1.6665;1.03199;1.467;1.63179;2.04792;NA;105.655;8.4135;8.6938;288.8799;5.125;483;701.5
16.03.2000;3.32;7.15;13.88;19.5;20.75;NA;NA;NA;1.05;1.5;2;2.25;-152.5;NA;NA;NA;-23.5;-57;-130;-225;2.8;5.5;NA;NA;-53.5;-160.55;NA;NA;-10.85;-29.7;-61;-93;-54.85;NA;NA;NA;1.6593;1.02754;1.473;1.63051;2.05002;NA;105.54;8.3908;8.6673;286.5;5.09;485;715.5
17.03.2000;3.5;7.25;13.25;18.75;23.45;NA;NA;NA;0.7;1.15;1.8;1.5;-176;NA;NA;NA;-25.5;-67.5;-130;-220;2.35;4.25;NA;NA;-57.65;-162.25;NA;NA;-10.65;-28.75;-61.5;-93;-62.95;NA;NA;NA;1.6585;1.03263;1.471;1.63982;2.06526;NA;106.715;8.425;8.6742;284.5;5.1;485;710
20.03.2000;3.55;7.3;13.05;18;23.15;NA;NA;NA;0.85;1.25;1;1.5;-175;NA;NA;NA;-29.5;-70.5;-135;-220;3.75;6.25;NA;NA;-57.35;-161.95;NA;NA;-11.65;-30;-63;-94;-61.25;NA;NA;NA;1.65665;1.03146;1.4692;1.64806;2.06782;NA;106.425;8.4283;8.6745;285.8799;5.035;487;692
21.03.2000;3.6;7.75;13.8;20;22.1;NA;NA;NA;1.15;1.52;2.1;2.25;-167.5;NA;NA;NA;-28.5;-68;-135;-225;3.2;6.2;NA;NA;-56.05;-162.6;NA;NA;-11.35;-31;-64;-96;-60.05;NA;NA;NA;1.67245;1.02955;1.4702;1.63874;2.04082;NA;106.865;8.4165;8.648;289.8799;5.11;495;661
22.03.2000;3.23;7;12.65;18;21.18;NA;NA;NA;1.05;1.45;1.7;2.5;-157.5;NA;NA;NA;-26;-65;-127.5;-205;2.1;5.35;NA;NA;-53.7;-165.75;NA;NA;-10.75;-31.5;-65;-98;-56.25;NA;NA;NA;1.6736;1.04004;1.4698;1.64811;2.05044;NA;107.06;8.471;8.7103;288;5.12;496;654.05
23.03.2000;2.95;6.45;11.13;15.3;20.82;NA;NA;NA;1.05;1.45;1.5;1;-164.5;NA;NA;NA;-24.5;-54.5;-115;-180;3;6.05;NA;NA;-54.2;-163.25;NA;NA;-10.45;-31.5;-65;-98.25;-49.5;NA;NA;NA;1.6455;1.0305;1.4695;1.65645;2.05212;NA;107.36;8.3735;8.6455;285.5;5.08;485;645
24.03.2000;2.65;5.9;9.5;12.5;20.95;NA;NA;NA;1;1.15;1.2;0.5;-165.5;NA;NA;NA;-24.5;-47.5;-110;-175;3.3;7.75;NA;NA;-54.75;-164;NA;NA;-10.55;-30.75;-64;-97;-49.25;NA;NA;NA;1.62445;1.02923;1.4621;1.64897;2.0517;NA;106.88;8.363;8.592;284.8999;5.105;479.5;620
27.03.2000;2.65;5.75;9.65;13;19.8;NA;NA;NA;0.9;0.75;0.23;1;-160.5;NA;NA;NA;-24.5;-47;-116;-196;2.7;6.35;NA;NA;-53.25;-165;NA;NA;-10.25;-31.5;-64.5;-99;-47.3;NA;NA;NA;1.6435;1.03029;1.4575;1.62969;2.02429;NA;106.73;8.3605;8.581;280.2;5.09;480;615
28.03.2000;2.55;6.15;10.15;14.5;19.1;NA;NA;NA;1.4;1.5;1.8;2.5;-157.5;NA;NA;NA;-22.5;-40;-110;-185;3.55;7.5;NA;NA;-51.25;-163.55;NA;NA;-9.95;-31.5;-65;-99;-46;NA;NA;NA;1.6558;1.03391;1.4537;1.6293;1.99045;NA;105.8;8.3615;8.546;279.3499;5.06;477;617.55
