Date;USD_TO_AUD_1M_FWD_PTS;USD_TO_AUD_3M_FWD_PTS;USD_TO_AUD_6M_FWD_PTS;USD_TO_AUD_9M_FWD_PTS;USD_TO_EUR_1M_FWD_PTS;USD_TO_EUR_3M_FWD_PTS;USD_TO_EUR_6M_FWD_PTS;USD_TO_EUR_9M_FWD_PTS;USD_TO_NZD_1M_FWD_PTS;USD_TO_NZD_3M_FWD_PTS;USD_TO_NZD_6M_FWD_PTS;USD_TO_NZD_9M_FWD_PTS;SEK_TO_USD_1M_FWD_PTS;SEK_TO_USD_3M_FWD_PTS;SEK_TO_USD_6M_FWD_PTS;SEK_TO_USD_9M_FWD_PTS;NOK_TO_USD_1M_FWD_PTS;NOK_TO_USD_3M_FWD_PTS;NOK_TO_USD_6M_FWD_PTS;NOK_TO_USD_9M_FWD_PTS;USD_TO_GBP_1M_FWD_PTS;USD_TO_GBP_3M_FWD_PTS;USD_TO_GBP_6M_FWD_PTS;USD_TO_GBP_9M_FWD_PTS;JPY_TO_USD_1M_FWD_PTS;JPY_TO_USD_3M_FWD_PTS;JPY_TO_USD_6M_FWD_PTS;JPY_TO_USD_9M_FWD_PTS;CAD_TO_USD_1M_FWD_PTS;CAD_TO_USD_3M_FWD_PTS;CAD_TO_USD_6M_FWD_PTS;CAD_TO_USD_9M_FWD_PTS;CHF_TO_USD_1M_FWD_PTS;CHF_TO_USD_3M_FWD_PTS;CHF_TO_USD_6M_FWD_PTS;CHF_TO_USD_9M_FWD_PTS
31.12.1999;3.35;7.25;10.5;10.75;23.15;;;;3.13;6.25;8.25;6.0;-175.5;;;;-5.0;-27.5;-110.0;-245.0;2.5;0.75;;;-53.0;-148.5;;;-10.5;-31.5;-61.5;-87.0;-61.8;;;
03.01.2000;3.25;7.05;10.5;10.0;25.35;;;;3.15;5.5;7.0;3.5;-180.5;;;;-11.0;-30.0;-105.0;-240.0;2.45;1.0;;;-51.75;-147.5;;;-11.75;-32.5;-61.5;-88.0;-61.25;;;
04.01.2000;3.27;7.15;9.63;9.75;23.5;;;;2.95;6.5;9.5;7.0;-172.0;;;;-7.5;-42.5;-135.0;-280.0;1.63;0.65;;;-51.45;-149.9;;;-10.75;-31.5;-58.5;-82.0;-60.3;;;
05.01.2000;3.27;7.55;10.13;10.75;23.35;;;;3.0;6.5;9.0;7.5;-166.5;;;;-7.5;-45.0;-130.0;-270.0;1.88;0.65;;;-55.0;-152.5;;;-10.65;-30.5;-55.5;-78.0;-58.6;;;
06.01.2000;3.2;7.45;10.0;9.5;23.35;;;;2.85;6.25;8.75;5.5;-169.0;;;;-5.0;-43.0;-125.0;-260.0;1.57;0.75;;;-55.65;-153.3;;;-10.75;-30.5;-56.5;-78.0;-58.15;;;
07.01.2000;3.1;7.05;8.99;8.0;23.35;;;;2.6;5.65;7.5;4.5;-170.5;;;;-5.0;-45.0;-135.0;-270.0;1.38;0.75;;;-54.25;-154.5;;;-5.75;-30.5;-55.5;-81.0;-57.1;;;
10.01.2000;3.18;6.75;7.95;6.9;24.25;;;;2.95;6.0;8.0;5.0;-181.5;;;;-5.0;-42.0;-135.0;-275.0;1.25;0.65;;;-53.0;-153.75;;;-11.15;-32.25;-59.5;-82.0;-60.55;;;
11.01.2000;3.15;6.75;7.75;5.7;23.45;;;;2.7;6.05;7.5;5.0;-175.5;;;;-8.5;-47.0;-135.0;-260.0;0.8;-0.25;;;-51.5;-155.15;;;-11.55;-31.25;-58.5;-80.0;-59.2;;;
12.01.2000;3.1;7.05;8.25;6.8;23.35;;;;2.8;6.45;7.55;6.0;-173.5;;;;-7.5;-46.0;-130.0;-255.0;0.5;-0.25;;;-51.45;-155.25;;;-11.75;-31.0;-58.5;-82.0;-58.25;;;
13.01.2000;3.5;7.45;9.35;8.7;23.4;;;;2.75;7.55;9.0;7.0;-171.5;;;;-6.5;-42.5;-135.0;-265.0;2.05;2.25;;;-51.65;-155.5;;;-11.05;-30.25;-57.5;-81.0;-57.7;;;
14.01.2000;4.0;7.35;9.06;8.25;23.25;;;;2.8;7.25;8.8;6.0;-173.5;;;;-7.5;-45.0;-130.0;-255.0;1.55;1.55;;;-51.55;-155.0;;;-10.95;-30.5;-59.0;-83.0;-57.95;;;
17.01.2000;3.63;7.15;8.63;8.05;24.85;;;;2.75;6.65;7.5;5.5;-187.5;;;;-7.5;-42.5;-130.0;-275.0;1.35;1.25;;;-54.75;-154.0;;;-11.75;-30.5;-57.5;-81.0;-63.1;;;
18.01.2000;3.4;7.15;8.5;6.8;25.05;;;;2.0;4.65;3.75;0.5;-182.5;;;;-8.5;-47.5;-145.0;-265.0;1.0;1.25;;;-54.75;-154.5;;;-11.05;-28.5;-52.5;-75.0;-61.2;;;
19.01.2000;3.25;6.65;8.0;7.05;24.35;;;;2.25;6.0;6.05;3.0;-172.5;;;;-7.5;-45.0;-130.0;-275.0;0.75;0.75;;;-53.2;-154.55;;;-11.25;-28.2;-53.5;-74.0;-60.1;;;
20.01.2000;3.07;6.35;7.45;6.75;23.45;;;;2.0;5.5;5.8;2.0;-164.5;;;;-8.5;-47.5;-140.0;-275.0;-0.48;-1.25;;;-51.45;-154.55;;;-10.25;-27.5;-52.5;-72.0;-57.1;;;
21.01.2000;2.9;6.25;7.4;6.35;23.35;;;;1.95;5.35;5.5;-0.5;-161.5;;;;-9.0;-45.0;-147.5;-280.0;-0.23;-1.25;;;-51.1;-153.5;;;-10.25;-28.5;-54.5;-78.0;-56.4;;;
24.01.2000;2.8;5.65;6.2;4.75;24.55;;;;2.0;5.0;4.5;0.0;-173.5;;;;-8.5;-47.5;-135.0;-270.0;-0.5;-0.95;;;-54.95;-154.75;;;-10.45;-29.5;-57.5;-81.0;-59.4;;;
25.01.2000;2.7;5.55;6.15;4.5;23.75;;;;2.3;4.95;4.9;2.5;-168.5;;;;-8.5;-46.0;-141.0;-281.0;-0.95;-1.55;;;-52.05;-155.65;;;-10.75;-29.5;-57.5;-83.0;-58.4;;;
26.01.2000;2.6;5.35;5.8;4.0;21.4;;;;2.1;4.75;5.5;1.5;-161.5;;;;-5.5;-40.0;-135.0;-275.0;-0.45;-1.05;;;-48.85;-150.75;;;-10.25;-29.5;-57.5;-83.0;-56.3;;;
27.01.2000;2.68;5.55;6.63;6.5;20.25;;;;2.1;5.25;5.3;1.5;-148.5;;;;-9.5;-42.0;-140.0;-280.0;-0.9;-1.5;;;-48.8;-149.4;;;-9.95;-28.7;-57.5;-84.0;-51.9;;;
28.01.2000;3.05;7.75;10.65;12.5;20.45;;;;2.15;5.2;5.8;-1.0;-152.5;;;;-13.5;-47.0;-145.0;-315.0;-0.9;-0.9;;;-49.0;-156.25;;;-9.45;-28.0;-58.5;-85.0;-51.6;;;
31.01.2000;3.3;7.75;12.0;13.5;20.65;;;;2.05;4.2;4.0;3.5;-157.5;;;;-17.0;-58.0;-165.0;-325.0;-0.5;-0.75;;;-49.5;-157.5;;;-9.55;-28.5;-58.5;-82.0;-50.7;;;
01.02.2000;3.1;7.45;12.7;15.0;20.6;;;;2.25;4.3;4.0;3.0;-157.5;;;;-16.0;-57.0;-175.0;-340.0;-0.25;1.05;;;-50.25;-167.95;;;-9.75;-28.5;-56.5;-82.0;-51.6;;;
02.02.2000;2.25;5.85;8.7;9.75;20.6;;;;2.35;4.35;3.0;2.0;-168.5;;;;-14.5;-52.0;-170.0;-325.0;0.25;2.5;;;-50.45;-161.9;;;-10.85;-30.0;-59.5;-86.0;-54.8;;;
03.02.2000;1.68;5.15;7.13;7.95;20.35;;;;2.0;4.6;3.5;1.0;-149.5;;;;-11.5;-50.0;-150.0;-305.0;-0.8;-0.75;;;-49.5;-160.0;;;-10.05;-29.5;-60.0;-87.0;-48.05;;;
04.02.2000;1.35;4.95;7.25;8.3;19.5;;;;2.1;4.55;3.2;-0.5;-138.5;;;;-10.5;-44.5;-155.0;-295.0;-1.55;-1.75;;;-49.8;-158.25;;;-8.95;-28.2;-58.5;-85.0;-47.65;;;
07.02.2000;1.25;4.9;7.63;9.0;20.05;;;;1.85;3.95;3.3;0.0;-142.0;;;;-10.5;-50.0;-157.5;-300.0;-1.55;-1.65;;;-49.9;-159.35;;;-8.95;-28.5;-58.0;-85.0;-48.05;;;
08.02.2000;1.77;5.65;9.25;12.0;20.15;;;;2.0;3.6;2.5;-0.5;-138.0;;;;-11.5;-47.5;-160.0;-305.0;-2.15;-2.2;;;-50.25;-160.25;;;-9.25;-29.5;-59.0;-88.0;-48.25;;;
09.02.2000;1.63;6.15;10.15;13.0;20.2;;;;1.85;3.55;2.5;-0.5;-143.5;;;;-11.5;-49.0;-160.0;-300.0;-2.45;-2.3;;;-50.0;-160.0;;;-9.75;-29.5;-60.0;-88.0;-51.4;;;
10.02.2000;1.63;6.2;10.88;15.0;20.05;;;;1.8;3.5;2.3;-1.0;-133.0;;;;-10.5;-44.5;-150.0;-275.0;-3.05;-3.0;;;-49.75;-158.95;;;-9.75;-29.8;-60.5;-89.0;-47.6;;;
11.02.2000;1.8;6.2;9.85;13.2;20.05;;;;1.85;3.35;2.6;-1.5;-131.5;;;;-10.5;-47.5;-145.0;-265.0;-2.9;-2.85;;;-49.8;-158.75;;;-9.35;-30.0;-59.5;-88.0;-47.75;;;
14.02.2000;1.77;6.0;10.15;13.75;20.25;;;;1.7;3.05;2.3;0.5;-134.5;;;;-9.5;-47.5;-152.5;-270.0;-2.6;-2.5;;;-49.75;-158.25;;;-9.65;-30.5;-60.5;-92.0;-47.75;;;
15.02.2000;1.8;6.05;9.7;12.55;21.5;;;;1.6;3.0;1.85;-1.0;-135.0;;;;-11.0;-46.5;-152.5;-265.0;-2.6;-2.75;;;-55.0;-159.0;;;-9.45;-29.5;-60.0;-89.0;-45.35;;;
16.02.2000;1.8;6.0;9.55;12.25;19.85;;;;1.75;3.2;2.0;-1.0;-143.5;;;;-9.5;-42.5;-140.0;-265.0;-2.95;-3.55;;;-50.25;-160.5;;;-9.75;-29.0;-59.5;-88.0;-49.05;;;
17.02.2000;1.75;6.15;9.85;13.0;19.8;;;;1.65;3.1;3.0;3.0;-134.0;;;;-9.0;-47.5;-150.0;-285.0;-2.15;-1.9;;;-50.45;-162.5;;;-9.45;-29.2;-58.5;-90.0;-46.05;;;
18.02.2000;1.85;6.35;11.25;15.25;19.25;;;;1.65;3.15;3.3;2.0;-133.5;;;;-9.5;-49.5;-160.0;-310.0;-2.25;-1.75;;;-50.7;-163.2;;;-9.15;-30.5;-62.5;-94.0;-46.25;;;
21.02.2000;1.85;6.75;11.75;15.5;19.5;;;;1.75;3.05;3.0;2.0;-134.5;;;;-9.5;-50.0;-150.0;-300.0;-1.75;-1.5;;;-51.15;-163.4;;;-9.65;-30.8;-64.5;-94.0;-47.0;;;
22.02.2000;1.75;6.55;11.8;17.0;20.85;;;;1.6;2.95;3.0;2.5;-133.5;;;;-9.0;-47.5;-145.0;-280.0;-2.25;-1.55;;;-54.35;-163.35;;;-9.35;-30.3;-63.5;-94.0;-48.15;;;
23.02.2000;1.65;6.05;10.25;14.5;20.2;;;;1.55;2.75;2.45;0.5;-144.5;;;;-8.5;-47.5;-140.0;-275.0;-2.35;-1.75;;;-54.5;-163.35;;;-10.35;-30.5;-62.5;-96.0;-51.25;;;
24.02.2000;1.85;6.15;11.05;16.0;20.5;;;;1.45;2.75;1.75;-1.0;-134.5;;;;-8.5;-45.5;-130.0;-260.0;-2.25;-1.5;;;-54.25;-166.5;;;-9.65;-32.2;-66.5;-105.0;-47.13;;;
25.02.2000;1.8;6.2;11.25;16.25;20.2;;;;1.3;2.0;1.75;-1.0;-143.0;;;;-8.5;-48.0;-125.0;-255.0;-2.75;-2.65;;;-53.0;-163.8;;;-9.55;-32.0;-65.5;-100.0;-48.95;;;
28.02.2000;1.85;5.95;10.55;14.0;21.35;;;;1.35;1.75;0.95;-3.0;-155.5;;;;-10.5;-47.5;-135.0;-250.0;-2.0;-1.5;;;-57.05;-163.25;;;-10.35;-31.5;-65.5;-98.0;-55.2;;;
29.02.2000;1.9;6.25;11.05;15.0;20.25;;;;1.4;2.05;1.0;-1.5;-151.5;;;;-12.5;-49.0;-130.0;-240.0;-1.8;-1.5;;;-55.9;-164.25;;;-10.95;-31.0;-65.0;-95.0;-55.35;;;
01.03.2000;2.1;6.25;12.05;17.7;20.15;;;;1.4;1.85;1.5;0.0;-147.0;;;;-13.0;-50.5;-125.0;-235.0;-0.95;-0.65;;;-52.7;-163.8;;;-10.65;-30.8;-65.5;-95.0;-53.75;;;
02.03.2000;2.05;6.3;12.35;17.8;20.55;;;;1.25;1.75;1.5;-1.25;-146.5;;;;-12.5;-45.5;-115.0;-220.0;-1.25;-1.05;;;-53.25;-161.5;;;-10.45;-30.5;-64.5;-95.0;-53.75;;;
03.03.2000;2.1;6.4;12.35;17.8;20.65;;;;1.15;1.65;1.0;-1.5;-144.5;;;;-11.5;-42.5;-115.0;-200.0;-1.2;-1.0;;;-53.25;-161.15;;;-10.35;-31.0;-65.5;-97.0;-55.0;;;
06.03.2000;2.05;5.95;10.75;15.0;21.5;;;;1.05;0.75;0.0;-2.0;-156.0;;;;-12.5;-44.5;-125.0;-230.0;-0.92;-0.5;;;-56.75;-161.45;;;-10.55;-31.0;-64.5;-97.0;-59.95;;;
07.03.2000;2.2;6.25;10.75;16.0;20.5;;;;1.05;0.75;0.0;-2.5;-154.0;;;;-13.0;-44.5;-125.0;-230.0;-1.25;-0.95;;;-54.75;-159.75;;;-11.25;-31.0;-64.5;-96.0;-59.25;;;
08.03.2000;2.45;6.3;11.25;16.0;20.15;;;;0.45;0.55;-0.5;-2.5;-147.5;;;;-16.5;-52.0;-141.0;-240.0;-1.2;-1.0;;;-53.45;-164.25;;;-10.65;-30.0;-62.5;-95.0;-56.45;;;
09.03.2000;2.52;6.3;11.05;15.4;20.25;;;;0.75;0.5;-1.0;-3.5;-151.5;;;;-17.5;-55.0;-160.0;-270.0;0.0;1.15;;;-53.15;-159.85;;;-10.35;-30.0;-61.5;-94.0;-54.0;;;
10.03.2000;2.65;6.4;11.35;15.5;19.8;;;;0.4;0.4;-0.5;-4.75;-151.0;;;;-15.0;-53.5;-150.0;-245.0;0.55;2.25;;;-53.15;-159.85;;;-10.3;-29.5;-60.5;-92.0;-52.55;;;
13.03.2000;2.7;6.5;11.7;16.0;21.25;;;;-0.02;0.4;-1.5;-5.0;-161.5;;;;-16.5;-53.0;-137.5;-240.0;1.15;2.55;;;-57.45;-158.5;;;-10.4;-29.0;-61.5;-93.0;-56.25;;;
14.03.2000;2.63;6.75;12.25;17.1;20.45;;;;0.65;0.95;0.5;-0.5;-154.5;;;;-18.0;-55.0;-140.0;-245.0;1.8;3.55;;;-54.35;-158.55;;;-11.35;-29.63;-63.0;-94.0;-55.0;;;
15.03.2000;2.93;6.9;13.15;18.9;20.0;;;;0.75;1.15;1.25;0.0;-153.0;;;;-20.5;-57.0;-140.0;-245.0;1.8;3.75;;;-53.13;-163.15;;;-11.25;-29.5;-63.0;-93.0;-54.0;;;
16.03.2000;3.32;7.15;13.88;19.5;20.75;;;;1.05;1.5;2.0;2.25;-152.5;;;;-23.5;-57.0;-130.0;-225.0;2.8;5.5;;;-53.5;-160.55;;;-10.85;-29.7;-61.0;-93.0;-54.85;;;
17.03.2000;3.5;7.25;13.25;18.75;23.45;;;;0.7;1.15;1.8;1.5;-176.0;;;;-25.5;-67.5;-130.0;-220.0;2.35;4.25;;;-57.65;-162.25;;;-10.65;-28.75;-61.5;-93.0;-62.95;;;
20.03.2000;3.55;7.3;13.05;18.0;23.15;;;;0.85;1.25;1.0;1.5;-175.0;;;;-29.5;-70.5;-135.0;-220.0;3.75;6.25;;;-57.35;-161.95;;;-11.65;-30.0;-63.0;-94.0;-61.25;;;
21.03.2000;3.6;7.75;13.8;20.0;22.1;;;;1.15;1.52;2.1;2.25;-167.5;;;;-28.5;-68.0;-135.0;-225.0;3.2;6.2;;;-56.05;-162.6;;;-11.35;-31.0;-64.0;-96.0;-60.05;;;
22.03.2000;3.23;7.0;12.65;18.0;21.18;;;;1.05;1.45;1.7;2.5;-157.5;;;;-26.0;-65.0;-127.5;-205.0;2.1;5.35;;;-53.7;-165.75;;;-10.75;-31.5;-65.0;-98.0;-56.25;;;
23.03.2000;2.95;6.45;11.13;15.3;20.82;;;;1.05;1.45;1.5;1.0;-164.5;;;;-24.5;-54.5;-115.0;-180.0;3.0;6.05;;;-54.2;-163.25;;;-10.45;-31.5;-65.0;-98.25;-49.5;;;
24.03.2000;2.65;5.9;9.5;12.5;20.95;;;;1.0;1.15;1.2;0.5;-165.5;;;;-24.5;-47.5;-110.0;-175.0;3.3;7.75;;;-54.75;-164.0;;;-10.55;-30.75;-64.0;-97.0;-49.25;;;
27.03.2000;2.65;5.75;9.65;13.0;19.8;;;;0.9;0.75;0.23;1.0;-160.5;;;;-24.5;-47.0;-116.0;-196.0;2.7;6.35;;;-53.25;-165.0;;;-10.25;-31.5;-64.5;-99.0;-47.3;;;
28.03.2000;2.55;6.15;10.15;14.5;19.1;;;;1.4;1.5;1.8;2.5;-157.5;;;;-22.5;-40.0;-110.0;-185.0;3.55;7.5;;;-51.25;-163.55;;;-9.95;-31.5;-65.0;-99.0;-46.0;;;
29.03.2000;2.0;5.35;9.25;12.8;18.0;;;;1.0;0.8;0.5;-0.5;-150.5;;;;-21.5;-43.0;-110.0;-190.0;2.7;6.25;;;-49.25;-161.0;;;-10.15;-31.5;-65.0;-95.0;-45.9;;;
30.03.2000;2.0;5.25;9.25;13.0;19.5;;;;0.95;0.45;-0.25;-1.5;-162.5;;;;-25.5;-44.5;-115.0;-205.0;2.45;5.45;;;-61.25;-161.0;;;-10.45;-30.7;-63.5;-96.0;-49.4;;;
31.03.2000;2.1;5.55;10.65;15.5;19.4;;;;0.95;0.25;-0.5;-2.0;-161.5;;;;-22.5;-44.0;-112.0;-197.0;2.55;6.2;;;-58.25;-159.65;;;-10.45;-32.2;-64.5;-97.0;-48.25;;;
03.04.2000;2.1;5.2;10.2;15.0;20.55;;;;0.85;0.35;-0.5;-1.0;-172.0;;;;-25.5;-47.5;-120.0;-195.0;2.15;4.8;;;-55.85;-161.0;;;-10.55;-32.0;-63.5;-96.0;-47.75;;;
04.04.2000;1.75;4.6;8.95;13.0;20.05;;;;0.75;0.05;-1.5;-4.0;-166.9;;;;-23.5;-45.0;-90.0;-175.0;1.2;3.35;;;-53.95;-159.95;;;-10.95;-32.0;-64.5;-97.0;-51.5;;;
05.04.2000;1.55;4.3;8.05;12.0;19.45;;;;0.8;-0.1;-0.8;-2.5;-156.6;;;;-23.5;-44.5;-110.0;-180.0;1.2;3.75;;;-52.8;-161.65;;;-10.25;-31.7;-65.5;-97.0;-50.0;;;
06.04.2000;1.75;4.5;8.85;12.0;19.05;;;;0.7;0.0;-0.4;-1.5;-160.25;;;;-22.5;-47.5;-115.0;-195.0;2.4;6.35;;;-52.35;-161.1;;;-10.05;-31.0;-63.5;-97.0;-48.35;;;
07.04.2000;1.55;4.3;7.65;10.5;18.8;;;;0.75;0.0;-0.8;-2.5;-159.5;;;;-22.5;-44.5;-115.0;-190.0;2.3;6.4;;;-52.6;-162.0;;;-10.05;-31.5;-63.5;-97.0;-48.25;;;
10.04.2000;1.7;4.4;7.25;10.3;19.75;;;;0.7;-0.5;-1.6;-4.5;-169.55;;;;-20.5;-44.5;-115.0;-180.0;2.4;5.65;;;-56.8;-163.8;;;-9.95;-31.5;-64.0;-97.0;-47.25;;;
11.04.2000;1.8;4.5;8.05;10.7;19.8;;;;0.7;-0.6;-1.2;-3.75;-163.0;;;;-16.5;-42.0;-115.0;-190.0;2.5;6.9;;;-56.75;-164.0;;;-5.25;-31.0;-63.5;-98.0;-49.5;;;
12.04.2000;1.7;4.85;8.85;13.0;18.45;;;;0.8;-0.4;-1.0;-3.5;-159.2;;;;-11.5;-30.0;-100.0;-165.0;2.65;6.7;;;-52.55;-161.9;;;-10.45;-31.0;-64.5;-97.0;-47.3;;;
13.04.2000;1.9;5.45;11.05;16.0;18.75;;;;0.8;0.0;-0.25;-1.0;-163.6;;;;-8.5;-25.0;-85.0;-135.0;3.1;7.3;;;-52.7;-163.0;;;-10.25;-31.0;-63.5;-97.5;-46.0;;;
14.04.2000;1.9;5.8;12.5;19.5;18.8;;;;0.75;0.0;-0.5;-1.5;-160.5;;;;-4.5;-20.0;-70.0;-115.0;3.3;7.5;;;-52.35;-161.0;;;-10.25;-31.0;-63.5;-96.0;-45.75;;;
17.04.2000;1.9;5.85;11.75;18.0;19.8;;;;0.7;0.1;0.0;0.0;-170.55;;;;-1.5;-19.0;-75.0;-115.0;3.1;7.3;;;-55.55;-162.6;;;-10.15;-30.5;-62.5;-96.0;-46.45;;;
18.04.2000;1.65;5.75;11.85;18.0;18.1;;;;0.5;-0.25;-1.0;-2.5;-160.0;;;;-4.0;-15.0;-70.0;-117.5;1.85;6.3;;;-53.8;-161.0;;;-10.95;-30.3;-62.5;-95.0;-49.3;;;
19.04.2000;1.7;5.55;11.95;19.5;17.7;;;;0.1;-0.45;-2.05;-3.0;-161.0;;;;-2.5;-17.0;-75.0;-115.0;1.8;6.05;;;-52.6;-162.45;;;-10.05;-30.7;-61.5;-96.0;-46.3;;;
20.04.2000;1.5;5.95;12.8;19.0;17.8;;;;0.0;-0.4;-0.8;-3.5;-161.5;;;;-4.5;-10.0;-62.5;-95.0;1.05;5.1;;;-53.0;-163.3;;;-9.8;-30.5;-61.5;-94.0;-45.75;;;
21.04.2000;1.5;5.4;12.25;19.0;17.75;;;;0.0;-0.45;-2.05;-3.5;-161.0;;;;-2.5;-11.0;-65.0;-105.0;1.15;5.15;;;-53.15;-163.5;;;-9.95;-30.5;-61.5;-94.0;-45.75;;;
24.04.2000;1.5;5.45;11.88;19.2;19.55;;;;-0.07;-0.5;-2.0;-3.5;-175.85;;;;-3.5;-10.0;-62.5;-95.0;1.3;5.2;;;-58.45;-164.1;;;-10.05;-30.2;-60.5;-91.0;-45.8;;;
25.04.2000;1.5;5.5;12.15;19.2;18.85;;;;-0.05;-0.5;-1.0;-2.5;-176.05;;;;-2.5;-15.0;-75.0;-110.0;1.0;5.8;;;-58.65;-170.4;;;-9.85;-30.0;-60.5;-91.0;-50.5;;;
26.04.2000;1.3;5.0;10.95;17.8;19.45;;;;-0.15;-0.7;-2.0;-2.5;-166.75;;;;-2.5;-17.0;-75.0;-140.0;1.25;8.1;;;-55.3;-168.2;;;-10.75;-29.8;-59.5;-91.5;-50.15;;;
27.04.2000;1.15;5.95;12.8;17.0;19.6;;;;0.0;-0.7;-0.63;-0.5;-179.1;;;;-0.5;-16.0;-75.0;-125.0;1.7;10.1;;;-56.05;-170.85;;;-10.85;-30.5;-61.5;-94.0;-47.75;;;
28.04.2000;1.25;5.2;11.35;17.7;19.8;;;;-0.15;-0.65;-1.0;-1.0;-188.5;;;;-2.5;-21.0;-80.0;-162.5;2.8;14.0;;;-57.55;-175.15;;;-10.85;-33.3;-67.0;-102.0;-51.25;;;
01.05.2000;1.35;4.85;11.15;16.75;18.75;;;;0.15;0.25;0.5;1.0;-183.15;;;;-5.0;-19.5;-80.0;-162.5;2.75;14.1;;;-58.65;-178.5;;;-11.75;-33.7;-66.5;-101.0;-51.25;;;
02.05.2000;1.3;4.65;11.25;18.0;18.45;;;;0.23;0.4;1.0;1.5;-184.0;;;;-6.5;-25.0;-85.0;-150.0;3.0;15.8;;;-58.65;-178.25;;;-11.5;-33.75;-66.5;-102.0;-51.75;;;
03.05.2000;1.85;6.15;12.85;20.0;18.1;;;;0.3;1.5;3.0;4.5;-187.3;;;;-8.5;-35.0;-114.0;-190.0;3.75;17.25;;;-59.0;-179.75;;;-10.95;-35.0;-66.5;-103.0;-53.05;;;
04.05.2000;2.1;6.7;13.55;21.0;17.8;;;;0.45;1.75;3.25;7.5;-192.25;;;;-10.5;-38.0;-120.0;-215.0;4.9;18.39999;;;-58.95;-178.5;;;-10.75;-35.2;-67.5;-102.0;-53.75;;;
05.05.2000;2.2;6.95;14.9;24.1;17.5;;;;0.65;2.0;4.0;8.0;-200.5;;;;-17.5;-45.0;-131.0;-245.0;5.25;19.5;;;-50.55;-179.4;;;-10.95;-35.5;-70.5;-108.0;-54.75;;;
08.05.2000;2.35;7.2;15.85;24.0;18.7;;;;0.52;1.9;3.75;7.5;-214.25;;;;-20.5;-55.0;-155.0;-285.0;6.3;20.89999;;;-61.65;-180.85;;;-11.05;-35.2;-70.5;-106.0;-60.25;;;
09.05.2000;2.2;7.2;14.75;23.5;18.45;;;;0.5;1.9;3.0;6.5;-212.5;;;;-20.5;-55.0;-137.5;-260.5;6.3;22.10001;;;-60.1;-186.1;;;-11.85;-35.0;-69.5;-106.0;-58.05;;;
10.05.2000;2.4;7.6;15.85;25.1;18.85;;;;0.4;1.75;3.0;5.5;-208.5;;;;-22.5;-53.0;-112.5;-200.0;6.2;22.2;;;-60.05;-185.55;;;-10.95;-36.2;-70.0;-108.0;-54.05;;;
11.05.2000;2.45;7.7;15.6;24.9;18.85;;;;0.4;1.65;3.05;6.5;-211.65;;;;-27.0;-66.5;-149.5;-260.0;6.2;19.95;;;-60.15;-180.45;;;-10.25;-32.2;-63.5;-99.0;-53.95;;;
12.05.2000;2.6;7.95;16.5;27.0;19.15;;;;0.55;1.95;3.7;7.0;-207.0;;;;-28.5;-76.0;-167.5;-320.0;6.3;20.7;;;-60.45;-182.05;;;-10.45;-32.3;-64.5;-100.0;-56.13;;;
15.05.2000;2.65;7.45;14.75;24.0;20.58;;;;0.45;2.1;4.3;8.5;-223.0;;;;-33.5;-82.5;-187.5;-325.0;6.7;21.32001;;;-64.85;-183.55;;;-10.75;-33.0;-66.5;-103.0;-58.75;;;
16.05.2000;2.85;7.95;16.35;27.0;18.7;;;;0.25;1.35;3.7;9.5;-205.25;;;;-34.5;-87.0;-190.0;-335.0;7.1;23.35001;;;-61.1;-188.45;;;-11.15;-32.8;-67.5;-106.0;-57.0;;;
17.05.2000;2.4;7.0;15.1;25.13;17.75;;;;0.1;0.8;1.7;4.25;-209.85;;;;-37.5;-89.0;-205.0;-315.0;7.6;25.0;;;-61.15;-185.0;;;-10.25;-32.0;-67.5;-104.0;-56.5;;;
18.05.2000;2.45;6.75;15.05;24.0;18.25;;;;0.3;0.45;1.5;2.5;-233.55;;;;-35.5;-88.0;-192.5;-320.0;8.0;26.55;;;-60.75;-183.75;;;-10.25;-32.0;-67.5;-107.0;-58.5;;;
19.05.2000;2.65;7.1;16.15;26.2;18.5;;;;0.2;0.55;1.5;3.25;-236.0;;;;-34.5;-88.0;-192.5;-310.0;7.6;26.55;;;-59.65;-180.75;;;-10.15;-33.2;-70.0;-111.0;-56.04;;;
22.05.2000;2.8;7.95;18.0;29.5;18.75;;;;0.4;0.9;1.7;4.0;-220.75;;;;-37.0;-88.0;-180.0;-295.0;7.5;26.5;;;-61.75;-180.6;;;-10.75;-33.0;-69.5;-110.0;-60.8;;;
23.05.2000;2.7;8.8;19.55;32.0;18.3;;;;0.35;1.0;2.0;4.5;-213.5;;;;-36.5;-89.0;-190.0;-315.0;7.05;25.64999;;;-59.55;-184.2;;;-10.35;-32.5;-67.5;-109.0;-59.25;;;
24.05.2000;2.6;8.35;18.85;29.8;18.6;;;;0.3;0.7;0.5;0.0;-214.05;;;;-37.5;-93.5;-195.0;-320.0;7.8;25.7;;;-60.3;-182.05;;;-10.15;-32.0;-67.5;-106.0;-58.0;;;
25.05.2000;2.55;8.53;18.75;30.0;18.95;;;;0.1;0.25;-0.52;-0.5;-216.5;;;;-36.5;-93.0;-215.0;-365.0;7.15;26.35001;;;-60.15;-181.5;;;-9.85;-32.3;-66.0;-106.0;-57.55;;;
