Date,px,spot
1999-12-31,-1.4292093514722826,0.6532403989992357
2000-01-03,-1.4054019697518072,0.6576654192945881
2000-01-04,-1.4183732328432175,0.6586704079145836
2000-01-05,-1.415519079525085,0.6580072907207811
2000-01-06,-1.378485982581612,0.6564048705241393
2000-01-07,-1.326608378875438,0.6542361792607131
2000-01-10,-1.371059822814491,0.6566893662290926
2000-01-11,-1.3497309103960298,0.6546559128522049
2000-01-12,-1.3432167181326449,0.6583191794709747
2000-01-13,-1.5503110973047463,0.665619425437312
2000-01-14,-1.7740621623518749,0.6660583333888381
2000-01-17,-1.6070671981782692,0.6654511093069992
2000-01-18,-1.4927835483413698,0.6626861319673163
2000-01-19,-1.4353157374757952,0.6646284726837698
2000-01-20,-1.3509312418180652,0.6634247311471276
2000-01-21,-1.2770022735109077,0.6636492746313428
2000-01-24,-1.2033934229993548,0.6556388216859096
2000-01-25,-1.1615189505753687,0.6559484686882998
2000-01-26,-1.1146143950746534,0.654805948257234
2000-01-27,-1.1431934888861406,0.6531763968177245
2000-01-28,-1.2819153637022573,0.6483696744535865
2000-01-31,-1.3339578051718703,0.6358572627616552
2000-02-01,-1.2556972317079307,0.6365088761162775
2000-02-02,-0.9089069202194988,0.6356228468276063
2000-02-03,-0.6742879877807972,0.6335650069375368
2000-02-04,-0.541897951948922,0.6335931065070012
2000-02-07,-0.5090814403108102,0.6381987478540567
2000-02-08,-0.7167404378694009,0.6363833063931067
2000-02-09,-0.6578595385953179,0.6353240152477764
2000-02-10,-0.652377335624843,0.6326711375427053
2000-02-11,-0.7127949026164426,0.6293186995758392
2000-02-14,-0.7059895861849519,0.6315922440472431
2000-02-15,-0.7088728953463797,0.6275848651633917
2000-02-16,-0.717718426406222,0.6314885447977974
2000-02-17,-0.7057294780632439,0.6350738590898122
2000-02-18,-0.7373453938508412,0.6313569755475443
2000-02-21,-0.7291654124397251,0.6278449223041909
2000-02-22,-0.6880178822010752,0.6270536005417743
2000-02-23,-0.6373786316982155,0.6215542585790026
2000-02-24,-0.7092573077449593,0.619214217158426
2000-02-25,-0.6916911717913532,0.619932055446723
2000-02-28,-0.6950523855930868,0.6129817270147176
2000-02-29,-0.7164855109287327,0.6141185862990144
2000-03-01,-0.7739509658766242,0.6071203069600273
2000-03-02,-0.7650544049697672,0.6109369940678018
2000-03-03,-0.7737912411276415,0.6070576522652357
2000-03-06,-0.7511236412216515,0.6053488625494873
2000-03-07,-0.8013161135211888,0.6035585813959102
2000-03-08,-0.8969241065281963,0.6050997809538793
2000-03-09,-0.9479084507968416,0.6133614661792487
2000-03-10,-1.0032631943679426,0.6153467478924374
2000-03-13,-1.0163029729493012,0.6135722174499939
2000-03-14,-1.0073360159845723,0.6189344424638542
2000-03-15,-1.1001733278304116,0.6128239540627164
2000-03-16,-1.248540772944562,0.6133050395275098
2000-03-17,-1.3013166944575438,0.6098230293568806
2000-03-20,-1.306738769983884,0.6067740252175284
2000-03-21,-1.3402536416762256,0.6102249289087958
2000-03-22,-1.1888991806408011,0.6067556170401248
2000-03-23,-1.074949386502544,0.6037006852002778
2000-03-24,-0.9744298438152388,0.6064391711189409
2000-03-27,-0.9976202563299896,0.6136136320404494
2000-03-28,-0.9604396919116187,0.6137605106487448
2000-03-29,-0.7485536796969505,0.6118191217948326
2000-03-30,-0.7433692786507073,0.6096966149643936
2000-03-31,-0.7661266884695372,0.604043466967883
2000-04-03,-0.7736597402230316,0.6070060639905793
2000-04-04,-0.6332780287543471,0.6015906055611036
2000-04-05,-0.5663344361228617,0.6044925889208599
2000-04-06,-0.6359914915277098,0.602878140241513
2000-04-07,-0.5542221035503836,0.5979931350388097
2000-04-10,-0.6091033250665845,0.5986088330719408
2000-04-11,-0.6382336893884233,0.5954933066552331
2000-04-12,-0.6003036886781388,0.5942688710079989
2000-04-13,-0.6806484574339855,0.5985622534671718
2000-04-14,-0.6768431945625153,0.5968866392894662
2000-04-17,-0.6764959091143385,0.5967334809254143
2000-04-18,-0.5825663417724503,0.5942264953709756
2000-04-19,-0.5977009647561982,0.5929791271347249
2000-04-20,-0.5273894581858674,0.5929791271347249
2000-04-21,-0.5273894581858674,0.5929791271347249
2000-04-24,-0.5273894581858674,0.5929791271347249
2000-04-25,-0.5312823143044376,0.5951636997756233
2000-04-26,-0.4516929423858951,0.589476662618927
2000-04-27,-0.3995639271525686,0.5894662383212002
2000-04-28,-0.4298756158982453,0.586451790730543
2000-05-01,-0.4558995764469831,0.5811453211990191
2000-05-02,-0.4461583565995575,0.585853970039428
2000-05-03,-0.6506340963585711,0.5930705635356495
2000-05-04,-0.7272038681815918,0.5884983875144182
2000-05-05,-0.774831749223992,0.5934999881300003
2000-05-08,-0.8113461269487754,0.5876234743825546
2000-05-09,-0.7465156693309272,0.5825536823218259
2000-05-10,-0.8179121490148322,0.5838188760318999
2000-05-11,-0.8162974279124491,0.5772605523228964
2000-05-12,-0.871248947300618,0.5789181178214153
2000-05-15,-0.8747352177629342,0.574577254784792
2000-05-16,-0.9481798069277403,0.576844315487693
2000-05-17,-0.7819031370281948,0.5708218693274577
2000-05-18,-0.7917512041188957,0.568514528388773
2000-05-19,-0.8563742196066038,0.568514528388773
2000-05-22,-0.9187953959810535,0.5728820550425079
2000-05-23,-0.8993205337193277,0.5771772569073689
2000-05-24,-0.8495717661882729,0.5716703063009501
2000-05-25,-0.8229116969626915,0.5681172594023407
2000-05-26,-0.8618528014092686,0.5703302782641427
2000-05-29,-0.9029908492164118,0.5730724707446504
2000-05-30,-0.9253258641450657,0.5801170676242466
